@relation 'SemanalAcumulada_6-MediaFinal_2-weka.filters.unsupervised.attribute.Remove-R1,10-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT1=12)'

@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute evasao {False,True}

@data

12,16,25,4,5,2,1,1,False
12,14,21,8,4,3,1,2,False
12,10,19,6,2,2,1,1,False
12,17,28,5,2,1,1,1,False
12,7,17,1,3,1,1,1,False
12,11,30,3,4,2,1,1,False
12,17,23,5,3,2,0,1,False
12,12,29,6,3,1,1,1,False
12,16,33,2,5,1,1,1,False
12,18,32,4,4,2,1,1,False
12,29,39,5,3,2,1,2,False
12,19,28,7,3,2,1,2,False
12,16,29,6,2,1,1,2,False
12,25,32,3,4,1,1,1,False
12,9,19,5,2,1,1,1,False
12,35,39,8,5,1,1,1,False
12,10,24,5,3,1,0,2,False
12,18,25,3,4,2,1,1,False
12,12,23,7,2,4,1,1,False
12,18,27,4,4,2,1,2,False
12,37,37,15,4,2,1,1,False
12,19,28,3,5,1,1,2,False
12,26,28,5,3,2,1,2,False
12,24,31,8,3,2,1,1,False
12,20,30,7,5,2,1,2,False
12,19,28,10,2,4,1,1,False
12,19,30,5,4,2,1,2,False
12,37,42,4,3,1,1,1,False
12,20,31,4,5,2,1,1,False
12,4,9,3,3,2,0,0,False
12,11,17,1,5,1,1,1,False
12,17,34,8,4,0,1,1,False
12,11,33,7,2,6,1,1,False
12,19,24,9,3,3,1,2,False
12,14,21,2,4,0,1,1,False
12,19,28,4,1,1,1,1,False
12,11,13,4,2,1,1,0,False
12,11,27,2,4,0,1,1,False
12,12,31,9,3,5,1,2,False
12,15,26,6,5,1,1,1,False
12,10,21,10,3,1,0,2,False
12,10,30,5,3,1,1,2,False
12,11,21,3,3,0,1,1,False
12,21,35,5,5,2,1,2,False
12,15,26,4,4,1,1,1,False
12,12,32,4,2,2,1,2,False
12,16,25,7,3,1,1,2,False
12,14,21,3,3,2,1,2,False
12,15,31,2,1,2,1,1,False
12,13,22,2,2,2,1,1,False
12,13,18,5,2,3,0,2,False
12,9,28,5,2,2,0,1,False
12,14,17,1,2,1,0,1,False
12,14,31,2,4,1,1,1,False
12,10,30,3,3,2,1,2,False
12,9,13,2,4,1,0,0,False
12,4,6,0,0,0,0,1,False
12,15,21,7,5,2,0,1,False
12,16,36,3,4,1,1,1,False
12,10,12,0,1,0,1,0,False
12,12,18,2,3,0,0,1,False
12,6,16,1,2,0,0,1,False
12,11,16,3,3,1,0,2,False
12,5,22,1,3,0,0,1,False
12,8,19,1,2,0,1,1,False
12,2,10,0,0,0,1,1,False
12,13,24,1,1,1,1,1,False
12,29,37,7,4,2,1,1,False
12,5,13,0,2,0,1,1,False
12,8,8,0,0,0,0,0,False
12,24,34,6,1,1,1,1,False
12,10,18,2,1,1,1,1,False
12,5,13,0,1,0,0,1,False
12,27,37,5,2,1,1,1,False
12,7,13,3,2,1,0,1,False
12,10,21,5,1,1,1,2,False
12,16,24,7,3,1,1,2,False
12,11,29,3,2,1,0,1,False
12,4,26,0,2,0,1,1,False
12,8,18,1,1,1,0,0,False
