@relation 'SemanalAcumulada_8-UltimasSemanas_8x2_reprovados-weka.filters.unsupervised.attribute.Remove-R1,10-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT1=12)'

@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute evasao {False,True}

@data

12,21,34,5,7,6,1,2,False
12,20,27,12,6,6,2,4,False
12,15,26,10,4,5,2,2,False
12,25,41,10,2,5,1,2,False
12,10,23,3,5,5,1,2,False
12,15,39,4,5,5,1,2,False
12,22,29,8,5,5,0,3,False
12,19,40,9,4,5,2,2,False
12,26,46,4,7,2,1,2,False
12,23,42,5,6,3,1,2,False
12,35,51,6,3,3,1,3,False
12,26,36,9,5,4,2,4,False
12,21,38,8,3,5,1,3,False
12,33,46,5,6,2,1,2,False
12,13,26,9,3,2,1,2,False
12,46,53,10,7,2,1,2,False
12,14,31,7,4,2,0,3,False
12,24,33,6,6,3,1,2,False
12,18,31,10,2,4,2,2,False
12,24,35,6,6,5,1,4,False
12,47,49,17,6,3,1,2,False
12,28,39,5,7,2,1,3,False
12,38,41,8,4,4,2,4,False
12,34,42,12,5,2,2,3,False
12,28,39,10,5,5,2,4,False
12,25,36,12,2,7,1,3,False
12,26,40,7,5,5,2,4,False
12,48,56,5,5,2,1,2,False
12,28,43,7,7,3,1,2,False
12,5,12,3,4,2,0,1,False
12,13,23,3,6,1,1,2,False
12,23,47,10,5,1,1,2,False
12,17,42,9,4,6,1,3,False
12,26,32,12,5,6,2,4,False
12,20,33,6,6,4,2,1,False
12,24,37,6,2,2,1,2,False
12,13,15,6,3,2,1,1,False
12,13,34,3,4,1,1,1,False
12,14,36,9,3,5,1,3,False
12,22,36,8,7,5,2,3,False
12,14,31,14,4,1,0,3,False
12,12,39,5,3,1,1,3,False
12,17,29,4,5,3,1,2,False
12,28,49,7,7,2,1,3,False
12,23,37,8,6,5,2,2,False
12,19,44,7,4,5,1,3,False
12,22,35,13,5,4,1,3,False
12,21,30,6,5,5,1,3,False
12,22,42,6,2,5,2,3,False
12,16,26,5,3,3,1,2,False
12,18,27,6,3,6,0,3,False
12,13,38,8,3,2,0,3,False
12,20,23,2,3,1,0,2,False
12,17,42,2,5,1,1,2,False
12,12,36,3,4,2,1,3,False
12,14,22,3,5,4,1,1,False
12,6,12,1,1,3,0,2,False
12,16,25,8,6,2,0,1,False
12,21,46,8,6,3,1,2,False
12,12,14,1,3,3,1,1,False
12,14,23,2,3,0,0,1,False
12,11,21,3,3,0,0,3,False
12,14,22,5,5,1,0,4,False
12,11,29,3,5,3,1,3,False
12,12,29,3,4,0,2,2,False
12,5,17,0,1,0,1,2,False
12,18,33,7,3,5,1,2,False
12,38,51,8,6,2,1,2,False
12,7,17,1,3,1,1,2,False
12,11,11,0,0,0,0,0,False
12,32,46,10,3,1,1,3,False
12,15,23,3,3,2,1,2,False
12,8,19,2,1,0,0,3,False
12,32,44,6,3,1,1,2,False
12,9,17,4,2,3,0,1,False
12,11,28,5,1,1,1,3,True
12,26,37,11,5,2,1,3,False
12,15,34,5,3,2,0,1,False
12,8,37,0,3,0,2,3,False
12,13,25,5,3,4,1,1,True
12,17,31,9,4,5,1,3,True
12,5,11,2,3,0,0,2,True
12,5,15,2,2,3,0,2,True
12,13,13,0,1,0,0,2,True
12,11,17,6,0,3,0,4,False
12,19,35,9,5,3,1,4,True
12,15,19,7,5,4,0,2,False
12,12,19,5,5,1,1,2,True
12,4,19,0,1,0,0,1,False
12,6,20,1,1,0,0,1,True
12,10,27,2,2,0,0,1,True
12,7,13,0,2,0,0,3,False
12,10,29,3,5,5,2,3,True
12,18,34,6,4,0,1,3,False
12,8,14,1,2,0,1,2,True
12,6,22,1,2,0,1,2,True
12,14,26,4,4,1,1,3,True
12,16,34,3,5,2,1,3,False
