@relation 'SemanalAcumulada_9-UltimasSemanas_9x1-weka.filters.unsupervised.attribute.Remove-R1,10-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT1=18)'

@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute evasao {False,True}

@data

18,24,37,4,6,2,1,2,False
18,21,30,12,5,2,1,5,False
18,19,35,9,4,2,1,3,False
18,27,48,3,3,1,1,3,False
18,21,38,4,4,1,1,3,False
18,14,46,5,4,1,1,1,False
18,27,32,3,3,1,1,4,False
18,26,49,5,2,1,1,2,False
18,26,46,3,6,1,1,2,False
18,31,49,5,6,2,1,3,False
18,45,60,10,3,1,1,4,False
18,28,38,10,4,1,1,5,False
18,24,46,4,2,1,1,4,False
18,28,40,6,4,1,1,2,False
18,25,35,6,2,2,1,2,False
18,50,59,7,5,1,1,2,False
18,15,37,5,2,1,1,4,False
18,31,40,3,6,1,1,1,False
18,20,28,4,2,0,1,4,False
18,30,46,2,5,1,1,4,False
18,52,55,21,4,6,1,2,False
18,25,43,2,6,1,1,3,False
18,37,45,8,4,1,1,3,False
18,44,54,5,3,1,1,2,False
18,26,40,6,5,1,1,4,False
18,16,42,3,2,2,1,2,False
18,26,44,8,5,1,1,5,False
18,53,62,5,4,2,1,2,False
18,33,49,5,6,1,1,2,False
18,13,19,2,4,1,1,0,False
18,15,24,1,6,1,1,3,False
18,21,42,2,5,1,1,1,False
18,17,48,7,3,2,1,4,False
18,23,31,17,4,2,1,5,False
18,20,33,0,5,0,1,2,False
18,29,42,4,1,1,1,2,False
18,14,17,1,2,1,1,1,False
18,12,30,5,5,0,1,1,False
18,25,43,10,4,1,1,4,False
18,19,37,7,5,1,1,3,False
18,18,39,10,3,0,1,3,False
18,26,51,4,4,3,1,3,False
18,23,33,0,4,0,1,2,False
18,32,51,6,7,1,1,5,False
18,21,38,8,4,1,1,2,False
18,26,49,7,3,1,1,4,False
18,27,38,9,5,1,1,3,False
18,27,38,4,4,1,1,3,False
18,23,45,3,2,1,1,4,False
18,24,34,1,2,1,1,2,False
18,16,34,5,3,2,1,2,False
18,18,50,6,4,3,1,4,False
18,28,35,1,4,0,1,2,False
18,23,45,3,4,2,1,3,False
18,16,40,6,2,1,1,4,False
18,11,22,2,2,1,1,1,False
18,12,14,1,1,0,0,2,False
18,19,32,6,4,0,0,3,False
18,31,52,4,5,1,1,3,False
18,16,17,1,2,3,1,1,False
18,36,38,8,4,0,0,3,False
18,6,20,0,1,0,0,1,True
18,21,27,3,4,0,0,5,False
18,6,30,0,3,0,0,2,False
18,13,32,0,2,0,1,2,False
18,3,13,0,2,0,1,1,False
18,12,37,0,0,0,0,3,False
18,37,52,3,6,1,1,3,False
18,4,13,0,1,0,1,1,False
18,19,19,1,2,0,0,2,False
18,29,44,10,2,1,0,3,False
18,10,20,1,2,1,0,2,False
18,15,31,1,2,0,0,2,False
18,36,42,2,2,0,0,4,False
18,18,26,3,4,0,1,4,False
18,5,9,4,0,1,0,2,False
18,15,21,5,3,1,1,3,False
18,10,26,2,2,1,0,2,False
18,7,27,0,2,0,0,3,False
18,16,34,1,2,0,0,2,False
18,7,20,4,1,0,0,3,False
18,20,29,10,4,0,1,2,False
18,2,6,0,0,0,0,1,True
18,13,13,1,1,0,0,1,True
18,15,23,6,1,0,1,4,False
18,19,37,6,4,0,0,3,False
18,14,16,3,3,0,1,2,False
18,2,6,1,2,0,0,0,True
18,6,23,1,1,0,0,3,False
18,5,28,0,2,0,0,0,True
18,8,31,2,1,1,0,1,False
18,10,21,0,1,0,0,3,False
18,3,18,0,1,0,0,1,True
18,13,35,3,2,0,0,4,False
18,4,7,2,2,0,0,1,True
18,1,6,0,0,0,0,1,True
18,6,12,2,1,0,0,1,True
18,11,22,1,2,1,0,3,False
18,18,37,2,5,1,0,4,False
18,4,5,1,1,1,0,0,True
18,7,18,4,2,0,0,2,False
18,0,0,0,0,0,0,0,True
18,9,28,2,2,0,0,2,False
18,6,11,1,1,0,0,1,True
18,9,20,2,1,0,1,1,False
18,13,18,5,2,3,0,1,False
18,14,36,1,2,1,1,2,False
18,3,3,0,0,0,0,1,True
18,1,5,0,0,0,0,0,True
18,0,3,0,0,0,0,0,True
18,3,11,0,0,0,0,2,False
18,0,0,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
18,2,7,0,1,0,0,1,True
18,0,0,0,0,0,0,0,True
18,8,12,5,2,0,0,2,False
18,3,23,2,1,0,0,1,True
18,0,0,0,0,0,0,0,True
18,0,1,0,0,0,0,0,True
18,8,16,0,2,0,0,0,True
18,5,11,2,1,0,0,0,True
18,0,0,0,0,0,0,0,True
18,0,1,0,0,0,0,0,True
18,0,2,0,0,0,0,0,True
18,2,3,0,0,0,0,0,True
18,0,1,0,0,0,0,0,True
18,1,2,1,1,0,0,1,True
18,0,0,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
18,3,8,0,2,0,0,1,True
18,0,0,0,0,0,0,0,True
18,5,18,3,0,0,0,1,True
18,2,9,0,1,0,0,2,False
18,0,2,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
18,2,5,0,0,0,0,1,True
18,2,3,0,1,0,0,0,True
18,7,23,1,0,0,0,0,True
18,0,3,0,0,0,0,0,True
18,4,4,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
18,0,3,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
18,0,2,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
18,0,0,0,0,0,0,0,True
