@relation SemanalAcumulada_6-UltimasSemanas_6x1_reprovados

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311270,1,1,3,4,1,1,0,0,6,False
91311270,2,3,5,5,2,1,1,0,9,False
91311270,3,6,9,5,3,1,1,1,11,False
91311270,4,11,15,6,4,5,1,1,17,False
91311270,5,14,21,7,5,9,1,1,23,False
91311270,6,16,24,7,6,9,1,2,25,False
91311270,7,19,26,4,6,9,1,2,22,False
91311270,8,20,29,4,6,9,1,2,22,False
91311270,9,19,29,4,5,9,1,1,20,False
91311270,10,16,26,3,5,5,1,1,15,False
91311270,11,16,24,3,5,1,1,2,12,False
91311270,12,16,25,4,5,2,1,1,13,False
91311270,13,14,25,3,5,1,1,1,11,False
91311270,14,13,25,3,5,1,0,1,10,False
91311270,15,12,24,3,6,1,1,1,12,False
91311270,16,11,22,3,5,1,1,1,11,False
91311270,17,14,24,3,4,2,1,1,11,False
91311270,18,17,26,2,3,1,1,1,8,False
91311293,1,1,1,0,0,0,0,0,0,False
91311293,2,5,6,3,1,1,1,0,6,False
91311293,3,10,11,6,2,1,2,1,12,False
91311293,4,14,16,8,3,2,2,2,17,False
91311293,5,16,18,9,4,5,3,3,24,False
91311293,6,20,22,12,5,5,3,4,29,False
91311293,7,21,24,13,6,6,3,4,32,False
91311293,8,19,24,10,6,5,3,4,28,False
91311293,9,15,22,8,5,5,2,3,23,False
91311293,10,15,21,8,5,5,2,3,23,False
91311293,11,17,23,10,4,2,1,3,20,False
91311293,12,14,21,8,4,3,1,2,18,False
91311293,13,14,22,8,4,2,1,2,17,False
91311293,14,14,19,10,4,2,0,2,18,False
91311293,15,17,23,11,5,2,1,3,22,False
91311293,16,14,20,9,4,1,1,3,18,False
91311293,17,11,19,6,4,1,1,3,15,False
91311293,18,12,20,6,3,0,1,3,13,False
91311168,1,0,2,0,0,0,0,0,0,False
91311168,2,1,5,1,1,1,0,0,3,False
91311168,3,3,9,1,1,1,1,0,4,False
91311168,4,4,10,1,2,1,1,1,6,False
91311168,5,8,15,4,3,4,2,2,15,False
91311168,6,9,17,5,4,4,2,2,17,False
91311168,7,10,18,6,4,5,2,2,19,False
91311168,8,11,20,7,4,4,3,2,20,False
91311168,9,10,17,7,4,4,2,2,19,False
91311168,10,10,20,7,3,4,2,1,17,False
91311168,11,9,19,6,3,1,1,1,12,False
91311168,12,10,19,6,2,2,1,1,12,False
91311168,13,13,20,6,3,1,1,1,12,False
91311168,14,13,21,5,3,1,0,1,10,False
91311168,15,15,25,6,4,1,1,2,14,False
91311168,16,16,23,8,4,2,1,3,18,False
91311168,17,14,23,7,3,2,1,2,15,False
91311168,18,13,25,6,3,1,1,2,13,False
91311195,1,0,3,0,0,0,0,0,0,False
91311195,2,5,10,4,1,2,1,0,8,False
91311195,3,12,17,6,2,2,1,1,12,False
91311195,4,16,24,6,2,2,2,2,14,False
91311195,5,21,31,8,2,5,2,3,20,False
91311195,6,24,37,11,2,6,2,3,24,False
91311195,7,26,38,12,2,6,2,3,25,False
91311195,8,25,37,11,2,4,2,3,22,False
91311195,9,19,35,9,1,4,2,2,18,False
91311195,10,21,34,9,2,4,1,2,18,False
91311195,11,19,32,8,2,2,1,1,14,False
91311195,12,17,28,5,2,1,1,1,10,False
91311195,13,16,31,5,3,1,1,1,11,False
91311195,14,16,31,2,2,1,1,1,7,False
91311195,15,17,33,2,3,1,1,2,9,False
91311195,16,12,30,2,2,1,1,2,8,False
91311195,17,12,30,1,2,0,1,2,6,False
91311195,18,17,35,2,2,0,1,2,7,False
91211073,1,0,1,0,0,0,0,0,0,False
91211073,2,0,1,0,0,0,0,0,0,False
91211073,3,5,6,0,0,0,1,0,1,False
91211073,4,8,10,2,1,0,2,1,6,False
91211073,5,10,13,3,2,3,2,2,12,False
91211073,6,11,16,4,3,4,2,2,15,False
91211073,7,12,18,4,3,4,2,2,15,False
91211073,8,15,22,4,4,4,3,2,17,False
91211073,9,10,19,4,4,4,2,2,16,False
91211073,10,8,17,2,4,4,1,2,13,False
91211073,11,7,17,1,3,1,1,1,7,False
91211073,12,7,17,1,3,1,1,1,7,False
91211073,13,7,17,2,3,1,1,1,8,False
91211073,14,4,17,2,2,1,0,1,6,False
91211073,15,6,19,2,3,1,1,1,8,False
91211073,16,8,22,3,3,1,1,1,9,False
91211073,17,12,26,4,3,1,1,2,11,False
91211073,18,18,30,3,2,0,1,2,8,False
91311271,1,4,5,4,1,1,0,0,6,False
91311271,2,7,12,5,2,1,1,0,9,False
91311271,3,10,19,7,3,1,1,0,12,False
91311271,4,14,26,8,4,1,2,1,16,False
91311271,5,18,31,9,5,4,2,2,22,False
91311271,6,18,35,9,5,4,2,2,22,False
91311271,7,15,35,6,5,4,2,2,19,False
91311271,8,15,32,5,5,4,2,2,18,False
91311271,9,14,30,3,4,4,2,2,15,False
91311271,10,11,29,3,3,4,1,1,12,False
91311271,11,10,30,2,3,1,1,1,8,False
91311271,12,11,30,3,4,2,1,1,11,False
91311271,13,12,29,3,4,1,1,1,10,False
91311271,14,11,31,3,4,1,1,1,10,False
91311271,15,10,32,3,4,1,1,1,10,False
91311271,16,10,31,2,4,1,1,1,9,False
