@relation 'SemanalAcumulada_6-UltimasSemanas_6x1_reprovados-weka.filters.unsupervised.attribute.Remove-R1,10'

@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute evasao {False,True}

@data

1,1,3,4,1,1,0,0,False
2,3,5,5,2,1,1,0,False
3,6,9,5,3,1,1,1,False
4,11,15,6,4,5,1,1,False
5,14,21,7,5,9,1,1,False
6,16,24,7,6,9,1,2,False
7,19,26,4,6,9,1,2,False
8,20,29,4,6,9,1,2,False
9,19,29,4,5,9,1,1,False
10,16,26,3,5,5,1,1,False
11,16,24,3,5,1,1,2,False
12,16,25,4,5,2,1,1,False
13,14,25,3,5,1,1,1,False
14,13,25,3,5,1,0,1,False
15,12,24,3,6,1,1,1,False
16,11,22,3,5,1,1,1,False
17,14,24,3,4,2,1,1,False
18,17,26,2,3,1,1,1,False
1,1,1,0,0,0,0,0,False
2,5,6,3,1,1,1,0,False
3,10,11,6,2,1,2,1,False
4,14,16,8,3,2,2,2,False
5,16,18,9,4,5,3,3,False
6,20,22,12,5,5,3,4,False
7,21,24,13,6,6,3,4,False
8,19,24,10,6,5,3,4,False
9,15,22,8,5,5,2,3,False
10,15,21,8,5,5,2,3,False
11,17,23,10,4,2,1,3,False
12,14,21,8,4,3,1,2,False
13,14,22,8,4,2,1,2,False
14,14,19,10,4,2,0,2,False
15,17,23,11,5,2,1,3,False
16,14,20,9,4,1,1,3,False
17,11,19,6,4,1,1,3,False
18,12,20,6,3,0,1,3,False
1,0,2,0,0,0,0,0,False
2,1,5,1,1,1,0,0,False
3,3,9,1,1,1,1,0,False
4,4,10,1,2,1,1,1,False
5,8,15,4,3,4,2,2,False
6,9,17,5,4,4,2,2,False
7,10,18,6,4,5,2,2,False
8,11,20,7,4,4,3,2,False
9,10,17,7,4,4,2,2,False
10,10,20,7,3,4,2,1,False
11,9,19,6,3,1,1,1,False
12,10,19,6,2,2,1,1,False
13,13,20,6,3,1,1,1,False
14,13,21,5,3,1,0,1,False
15,15,25,6,4,1,1,2,False
16,16,23,8,4,2,1,3,False
17,14,23,7,3,2,1,2,False
18,13,25,6,3,1,1,2,False
1,0,3,0,0,0,0,0,False
2,5,10,4,1,2,1,0,False
3,12,17,6,2,2,1,1,False
4,16,24,6,2,2,2,2,False
5,21,31,8,2,5,2,3,False
6,24,37,11,2,6,2,3,False
7,26,38,12,2,6,2,3,False
8,25,37,11,2,4,2,3,False
9,19,35,9,1,4,2,2,False
10,21,34,9,2,4,1,2,False
11,19,32,8,2,2,1,1,False
12,17,28,5,2,1,1,1,False
13,16,31,5,3,1,1,1,False
14,16,31,2,2,1,1,1,False
15,17,33,2,3,1,1,2,False
16,12,30,2,2,1,1,2,False
17,12,30,1,2,0,1,2,False
18,17,35,2,2,0,1,2,False
1,0,1,0,0,0,0,0,False
2,0,1,0,0,0,0,0,False
3,5,6,0,0,0,1,0,False
4,8,10,2,1,0,2,1,False
5,10,13,3,2,3,2,2,False
6,11,16,4,3,4,2,2,False
7,12,18,4,3,4,2,2,False
8,15,22,4,4,4,3,2,False
9,10,19,4,4,4,2,2,False
10,8,17,2,4,4,1,2,False
11,7,17,1,3,1,1,1,False
12,7,17,1,3,1,1,1,False
13,7,17,2,3,1,1,1,False
14,4,17,2,2,1,0,1,False
15,6,19,2,3,1,1,1,False
16,8,22,3,3,1,1,1,False
17,12,26,4,3,1,1,2,False
18,18,30,3,2,0,1,2,False
1,4,5,4,1,1,0,0,False
2,7,12,5,2,1,1,0,False
3,10,19,7,3,1,1,0,False
4,14,26,8,4,1,2,1,False
5,18,31,9,5,4,2,2,False
6,18,35,9,5,4,2,2,False
7,15,35,6,5,4,2,2,False
8,15,32,5,5,4,2,2,False
9,14,30,3,4,4,2,2,False
10,11,29,3,3,4,1,1,False
11,10,30,2,3,1,1,1,False
12,11,30,3,4,2,1,1,False
13,12,29,3,4,1,1,1,False
14,11,31,3,4,1,1,1,False
15,10,32,3,4,1,1,1,False
16,10,31,2,4,1,1,1,False
17,7,29,2,3,1,1,0,False
18,9,30,3,2,0,1,0,False
1,0,0,0,0,0,0,0,False
2,2,2,0,0,0,1,0,False
3,5,6,2,1,1,1,1,False
4,7,9,3,2,1,1,2,False
5,9,12,4,3,4,1,3,False
6,12,15,6,4,4,1,4,False
7,14,18,7,4,5,1,4,False
8,15,21,9,5,5,0,4,False
9,15,20,7,4,4,0,3,False
10,15,20,6,3,4,0,2,False
11,18,23,6,3,1,0,2,False
12,17,23,5,3,2,0,1,False
13,17,22,5,3,1,0,1,False
14,16,19,3,2,1,0,1,False
15,15,19,3,3,1,1,2,False
16,15,18,3,3,1,1,3,False
17,15,18,2,2,1,1,3,False
18,18,20,1,1,0,1,3,False
1,0,0,0,0,0,0,0,False
2,2,4,3,1,1,1,0,False
3,5,9,3,2,1,1,0,False
4,7,14,3,3,1,1,1,False
5,11,20,4,4,4,2,2,False
6,14,25,6,4,5,2,2,False
7,15,28,6,5,5,2,2,False
8,15,31,5,5,4,2,2,False
9,13,31,6,4,4,2,2,False
10,12,29,6,3,4,2,1,False
11,11,29,7,3,2,1,1,False
12,12,29,6,3,1,1,1,False
13,11,29,6,2,1,1,1,False
14,12,27,5,2,1,1,1,False
15,15,29,5,2,1,1,2,False
16,15,32,5,2,1,1,2,False
17,16,33,3,1,0,1,1,False
18,18,35,2,1,0,1,1,False
1,1,3,1,0,0,0,0,False
2,4,8,3,1,1,1,0,False
3,7,13,4,2,1,1,0,False
4,12,19,6,3,4,1,1,False
5,18,26,7,4,4,1,2,False
6,22,32,8,5,5,1,2,False
7,24,33,7,6,5,1,2,False
8,24,35,6,6,4,1,2,False
9,24,36,5,5,4,1,2,False
10,22,36,3,5,1,1,1,False
11,19,34,2,5,1,1,1,False
12,16,33,2,5,1,1,1,False
13,15,32,3,5,1,1,1,False
14,15,30,2,5,1,0,1,False
15,14,28,2,6,1,1,1,False
16,13,26,3,5,1,1,2,False
17,13,28,3,4,1,1,1,False
18,19,30,2,3,0,1,1,False
1,2,3,4,1,1,0,0,False
2,5,6,7,2,2,1,0,False
3,10,11,8,3,2,1,1,False
4,15,18,9,4,7,2,1,False
5,17,23,9,5,7,2,2,False
6,20,28,10,6,8,2,2,False
7,21,31,7,6,7,2,2,False
8,22,35,5,6,6,2,2,False
9,19,34,4,5,6,2,1,False
10,18,32,3,5,1,1,2,False
11,19,32,5,5,3,1,1,False
12,18,32,4,4,2,1,1,False
13,17,31,5,4,2,1,1,False
14,16,30,5,4,2,0,1,False
15,19,32,5,5,2,1,2,False
16,19,32,5,5,2,1,2,False
17,19,33,3,4,0,1,2,False
18,22,34,3,4,0,1,2,False
1,0,2,0,0,0,0,0,False
2,2,6,1,1,0,1,0,False
3,5,10,4,2,3,2,1,False
4,11,17,6,3,7,3,1,False
5,12,23,6,3,7,3,2,False
6,17,29,7,3,8,3,2,False
7,22,32,7,4,8,4,2,False
8,26,35,9,4,9,3,2,False
9,27,38,6,3,6,2,1,False
10,26,38,4,3,2,1,2,False
11,29,38,5,3,3,1,2,False
12,29,39,5,3,2,1,2,False
13,29,41,5,3,2,1,2,False
14,26,41,2,2,1,1,2,False
15,27,41,5,3,1,1,3,False
16,26,39,7,2,1,1,3,False
17,29,40,7,2,0,1,2,False
18,31,40,8,2,0,1,2,False
1,2,2,2,0,0,0,0,False
2,5,7,4,0,1,0,0,False
3,8,12,7,1,1,1,1,False
4,13,17,8,2,2,1,2,False
