@relation 'SemanalAcumulada_7-UltimasSemanas_7x1-weka.filters.unsupervised.attribute.Remove-R1,10'

@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute evasao {False,True}

@data

1,1,3,4,1,1,0,0,False
2,3,5,5,2,1,1,0,False
3,6,9,5,3,1,1,1,False
4,11,15,6,4,5,1,1,False
5,14,21,7,5,9,1,1,False
6,16,24,7,6,9,1,2,False
7,20,29,8,7,10,1,2,False
8,22,31,5,7,9,2,2,False
9,22,33,4,6,9,1,2,False
10,21,32,4,6,9,1,1,False
11,19,30,4,6,5,1,2,False
12,18,28,4,6,2,1,2,False
13,18,30,4,6,2,1,1,False
14,16,30,4,6,1,1,1,False
15,14,28,3,6,1,1,1,False
16,13,25,3,6,1,1,1,False
17,17,28,4,5,2,1,2,False
18,19,30,3,4,2,1,1,False
1,1,1,0,0,0,0,0,False
2,5,6,3,1,1,1,0,False
3,10,11,6,2,1,2,1,False
4,14,16,8,3,2,2,2,False
5,16,18,9,4,5,3,3,False
6,20,22,12,5,5,3,4,False
7,22,25,13,6,6,3,4,False
8,23,29,13,7,6,4,4,False
9,20,27,11,6,5,3,4,False
10,19,26,10,6,6,2,4,False
11,19,25,11,5,5,2,4,False
12,18,25,11,5,3,1,3,False
13,16,25,9,5,3,1,2,False
14,16,24,10,5,2,1,2,False
15,18,26,12,5,2,1,3,False
16,18,24,11,5,2,1,4,False
17,15,23,9,4,1,1,4,False
18,13,22,7,4,1,1,3,False
1,0,2,0,0,0,0,0,False
2,1,5,1,1,1,0,0,False
3,3,9,1,1,1,1,0,False
4,4,10,1,2,1,1,1,False
5,8,15,4,3,4,2,2,False
6,9,17,5,4,4,2,2,False
7,10,20,6,4,5,2,2,False
8,12,23,8,5,5,3,2,False
9,12,21,7,4,4,3,2,False
10,11,21,7,4,4,2,2,False
11,13,24,9,4,4,2,2,False
12,11,21,7,3,2,1,1,False
13,14,23,7,3,2,1,1,False
14,15,26,7,4,1,1,1,False
15,16,26,6,4,1,1,2,False
16,17,27,8,4,2,1,3,False
17,17,27,9,4,2,1,3,False
18,15,27,7,3,2,1,2,False
1,0,3,0,0,0,0,0,False
2,5,10,4,1,2,1,0,False
3,12,17,6,2,2,1,1,False
4,16,24,6,2,2,2,2,False
5,21,31,8,2,5,2,3,False
6,24,37,11,2,6,2,3,False
7,26,41,12,2,6,2,3,False
8,30,44,15,3,6,3,3,False
9,26,42,11,2,4,2,3,False
10,25,41,9,2,4,2,3,False
11,24,39,10,2,5,1,2,False
12,20,34,8,2,2,1,1,False
13,18,35,6,3,1,1,1,False
14,20,37,5,3,1,2,1,False
15,18,38,2,3,1,1,2,False
16,18,36,2,3,1,1,3,False
17,15,35,2,2,1,1,2,False
18,18,37,2,2,0,1,2,False
1,0,1,0,0,0,0,0,False
2,0,1,0,0,0,0,0,False
3,5,6,0,0,0,1,0,False
4,8,10,2,1,0,2,1,False
5,10,13,3,2,3,2,2,False
6,11,16,4,3,4,2,2,False
7,12,19,4,3,4,2,2,False
8,15,22,4,4,4,3,2,False
9,15,24,4,4,4,3,2,False
10,11,21,4,5,4,2,3,False
11,9,20,2,4,4,1,2,False
12,8,20,2,4,2,1,1,False
13,8,20,2,3,1,1,1,False
14,7,21,2,3,1,1,1,False
15,6,21,2,3,1,1,1,False
16,9,24,3,4,1,1,2,False
17,13,29,4,3,1,1,2,False
18,19,33,4,3,1,1,2,False
1,4,5,4,1,1,0,0,False
2,7,12,5,2,1,1,0,False
3,10,19,7,3,1,1,0,False
4,14,26,8,4,1,2,1,False
5,18,31,9,5,4,2,2,False
6,18,35,9,5,4,2,2,False
7,19,40,10,6,5,2,2,False
8,18,39,6,6,4,3,2,False
9,17,37,5,5,4,2,2,False
10,15,36,4,4,4,2,2,False
11,14,35,3,4,4,1,2,False
12,11,34,3,4,2,1,1,False
13,13,34,4,5,2,1,1,False
14,14,35,3,5,1,2,1,False
15,12,37,3,4,1,1,1,False
16,11,37,3,4,1,1,1,False
17,10,35,2,4,1,1,1,False
18,10,34,4,3,1,1,0,False
1,0,0,0,0,0,0,0,False
2,2,2,0,0,0,1,0,False
3,5,6,2,1,1,1,1,False
4,7,9,3,2,1,1,2,False
5,9,12,4,3,4,1,3,False
6,12,15,6,4,4,1,4,False
7,14,18,7,4,5,1,4,False
8,17,23,9,5,5,1,4,False
9,18,24,9,5,5,0,4,False
10,17,23,7,4,4,0,3,False
11,20,26,7,4,4,0,3,False
12,20,26,7,4,2,0,2,False
13,19,25,6,3,2,0,1,False
14,19,24,5,3,1,0,1,False
15,18,22,3,3,1,1,2,False
16,17,21,3,3,1,1,3,False
17,20,24,3,3,1,1,4,False
18,20,23,2,2,1,1,3,False
1,0,0,0,0,0,0,0,False
2,2,4,3,1,1,1,0,False
3,5,9,3,2,1,1,0,False
4,7,14,3,3,1,1,1,False
5,11,20,4,4,4,2,2,False
6,14,25,6,4,5,2,2,False
7,15,28,6,5,5,2,2,False
8,17,35,8,6,5,3,2,False
9,16,36,6,5,4,2,2,False
10,14,34,6,4,4,2,2,False
11,15,35,8,4,5,2,2,False
12,15,34,8,3,2,1,1,False
13,12,32,6,3,1,1,1,False
14,14,34,7,3,1,2,1,False
15,16,34,6,2,1,1,2,False
16,16,35,5,2,1,1,2,False
17,19,39,5,2,1,1,2,False
18,22,40,3,1,0,1,1,False
1,1,3,1,0,0,0,0,False
2,4,8,3,1,1,1,0,False
3,7,13,4,2,1,1,0,False
4,12,19,6,3,4,1,1,False
5,18,26,7,4,4,1,2,False
6,22,32,8,5,5,1,2,False
7,25,36,8,6,5,1,2,False
8,27,40,8,7,5,2,2,False
9,27,41,6,6,4,1,2,False
10,27,42,5,6,4,1,2,False
11,25,41,3,6,1,1,2,False
12,20,39,3,6,2,1,1,False
13,18,36,3,6,1,1,1,False
14,18,37,3,6,1,1,1,False
15,17,34,2,6,1,1,1,False
16,16,32,3,6,1,1,2,False
17,16,33,3,5,1,1,2,False
18,20,35,3,4,1,1,1,False
1,2,3,4,1,1,0,0,False
2,5,6,7,2,2,1,0,False
3,10,11,8,3,2,1,1,False
4,15,18,9,4,7,2,1,False
5,17,23,9,5,7,2,2,False
6,20,28,10,6,8,2,2,False
7,23,34,11,7,8,2,2,False
8,25,38,8,7,7,3,2,False
9,24,39,5,6,6,2,2,False
10,23,39,4,6,6,2,2,False
11,21,37,5,6,3,1,2,False
12,21,37,5,5,3,1,1,False
13,20,37,6,5,2,1,1,False
14,20,37,6,5,2,1,1,False
15,21,36,5,5,2,1,2,False
16,23,37,5,6,2,1,3,False
17,22,38,5,5,2,1,2,False
18,24,39,3,4,0,1,2,False
1,0,2,0,0,0,0,0,False
2,2,6,1,1,0,1,0,False
3,5,10,4,2,3,2,1,False
4,11,17,6,3,7,3,1,False
5,12,23,6,3,7,3,2,False
6,17,29,7,3,8,3,2,False
7,22,34,7,4,8,4,2,False
8,28,39,10,5,9,4,2,False
9,30,42,9,4,9,3,2,False
10,32,45,6,4,6,2,2,False
11,30,44,5,3,3,1,3,False
12,34,45,6,3,3,1,2,False
13,34,46,5,4,2,2,2,False
14,32,48,5,3,2,1,2,False
15,31,48,5,3,1,1,3,False
16,31,46,7,3,1,1,4,False
17,33,46,8,2,1,1,3,False
18,36,47,9,2,0,1,2,False
1,2,2,2,0,0,0,0,False
2,5,7,4,0,1,0,0,False
3,8,12,7,1,1,1,1,False
4,13,17,8,2,2,1,2,False
