@relation SemanalAcumulada_8-UltimasSemanas_8x2

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311270,1,1,3,4,1,1,0,0,6,False
91311270,2,3,5,5,2,1,1,0,9,False
91311270,3,6,9,5,3,1,1,1,11,False
91311270,4,11,15,6,4,5,1,1,17,False
91311270,5,14,21,7,5,9,1,1,23,False
91311270,6,16,24,7,6,9,1,2,25,False
91311270,7,20,29,8,7,10,1,2,28,False
91311270,8,23,34,9,8,10,2,2,31,False
91311270,9,24,35,5,7,9,2,2,25,False
91311270,10,24,36,4,7,9,1,2,23,False
91311270,11,24,36,5,7,9,1,2,24,False
91311270,12,21,34,5,7,6,1,2,21,False
91311270,13,20,33,4,7,2,1,2,16,False
91311270,14,20,35,5,7,2,1,1,16,False
91311270,15,17,33,4,7,1,2,1,15,False
91311270,16,15,29,3,6,1,1,1,12,False
91311270,17,19,31,4,6,2,1,2,15,False
91311270,18,22,34,4,5,2,1,2,14,False
91311293,1,1,1,0,0,0,0,0,0,False
91311293,2,5,6,3,1,1,1,0,6,False
91311293,3,10,11,6,2,1,2,1,12,False
91311293,4,14,16,8,3,2,2,2,17,False
91311293,5,16,18,9,4,5,3,3,24,False
91311293,6,20,22,12,5,5,3,4,29,False
91311293,7,22,25,13,6,6,3,4,32,False
91311293,8,24,30,13,7,6,4,4,34,False
91311293,9,24,32,14,7,6,4,4,35,False
91311293,10,24,31,13,7,6,3,5,34,False
91311293,11,23,30,13,6,6,2,5,32,False
91311293,12,20,27,12,6,6,2,4,30,False
91311293,13,20,29,12,6,3,1,3,25,False
91311293,14,18,27,11,6,3,1,2,23,False
91311293,15,20,31,12,6,2,2,3,25,False
91311293,16,19,27,12,5,2,1,4,24,False
91311293,17,19,27,11,5,2,1,5,24,False
91311293,18,17,26,10,4,1,1,4,20,False
91311168,1,0,2,0,0,0,0,0,0,False
91311168,2,1,5,1,1,1,0,0,3,False
91311168,3,3,9,1,1,1,1,0,4,False
91311168,4,4,10,1,2,1,1,1,6,False
91311168,5,8,15,4,3,4,2,2,15,False
91311168,6,9,17,5,4,4,2,2,17,False
91311168,7,10,20,6,4,5,2,2,19,False
91311168,8,12,25,8,5,5,3,2,23,False
91311168,9,13,24,8,5,5,3,2,23,False
91311168,10,13,25,7,4,4,3,2,20,False
91311168,11,14,25,9,5,4,2,3,23,False
91311168,12,15,26,10,4,5,2,2,23,False
91311168,13,15,25,8,4,2,1,1,16,False
91311168,14,16,29,8,4,2,1,1,16,False
91311168,15,18,31,8,5,1,2,2,18,False
91311168,16,18,28,8,4,2,1,3,18,False
91311168,17,18,31,9,4,2,1,3,19,False
91311168,18,18,31,9,4,2,1,3,19,False
91311195,1,0,3,0,0,0,0,0,0,False
91311195,2,5,10,4,1,2,1,0,8,False
91311195,3,12,17,6,2,2,1,1,12,False
91311195,4,16,24,6,2,2,2,2,14,False
91311195,5,21,31,8,2,5,2,3,20,False
91311195,6,24,37,11,2,6,2,3,24,False
91311195,7,26,41,12,2,6,2,3,25,False
91311195,8,30,47,15,3,6,3,3,30,False
91311195,9,31,49,15,3,6,3,3,30,False
91311195,10,32,48,11,3,4,2,4,24,False
91311195,11,28,46,10,2,5,2,3,22,False
91311195,12,25,41,10,2,5,1,2,20,False
91311195,13,21,41,9,3,2,1,1,16,False
91311195,14,22,41,6,3,1,2,1,13,False
91311195,15,22,44,5,4,1,2,2,14,False
91311195,16,19,41,2,3,1,1,3,10,False
91311195,17,21,41,2,3,1,1,3,10,False
91311195,18,21,42,3,2,1,1,2,9,False
91211073,1,0,1,0,0,0,0,0,0,False
91211073,2,0,1,0,0,0,0,0,0,False
91211073,3,5,6,0,0,0,1,0,1,False
91211073,4,8,10,2,1,0,2,1,6,False
91211073,5,10,13,3,2,3,2,2,12,False
91211073,6,11,16,4,3,4,2,2,15,False
91211073,7,12,19,4,3,4,2,2,15,False
91211073,8,15,23,4,4,4,3,2,17,False
91211073,9,15,24,4,4,4,3,2,17,False
91211073,10,16,26,4,5,4,3,3,19,False
91211073,11,12,24,4,5,4,2,3,18,False
91211073,12,10,23,3,5,5,1,2,16,False
91211073,13,9,23,3,4,2,1,1,11,False
91211073,14,8,24,2,3,1,1,1,8,False
91211073,15,9,25,2,4,1,2,1,10,False
91211073,16,9,26,3,4,1,1,2,11,False
91211073,17,14,31,4,4,1,1,3,13,False
91211073,18,20,36,4,3,1,1,2,11,False
91311271,1,4,5,4,1,1,0,0,6,False
91311271,2,7,12,5,2,1,1,0,9,False
91311271,3,10,19,7,3,1,1,0,12,False
91311271,4,14,26,8,4,1,2,1,16,False
91311271,5,18,31,9,5,4,2,2,22,False
91311271,6,18,35,9,5,4,2,2,22,False
91311271,7,19,40,10,6,5,2,2,25,False
91311271,8,22,44,10,7,5,3,2,27,False
91311271,9,20,44,6,6,4,3,2,21,False
91311271,10,18,43,6,5,4,2,2,19,False
91311271,11,18,42,4,5,4,2,3,18,False
91311271,12,15,39,4,5,5,1,2,17,False
91311271,13,13,38,4,5,2,1,1,13,False
91311271,14,15,40,4,6,2,2,1,15,False
91311271,15,15,41,3,5,1,2,1,12,False
91311271,16,13,42,3,4,1,1,1,10,False
