Tree age circumference
1 1 54.5455
1 2 54.5455
1 3 54.5455
1 4 54.5455
1 5 54.5455
1 6 54.5455
1 7 54.5455
1 8 54.5455
1 9 54.5455
1 10 54.5455
1 11 54.5455
1 12 54.5455
1 13 54.5455
1 14 54.5455
1 15 54.5455
1 16 54.5455
1 17 54.5455
1 18 54.5455
2 1 52.1212
2 2 49.697
2 3 63.0303
2 4 70.303
2 5 68.4848
2 6 63.6364
2 7 67.8788
2 8 79.3939
2 9 75.1515
2 10 73.3333
2 11 78.1818
2 12 82.4242
2 13 81.2121
2 14 89.0909
2 15 90.9091
2 16 87.2727
2 17 87.2727
2 18 89.0909
3 1 52.1212
3 2 58.7879
3 3 61.8182
3 4 72.1212
3 5 71.5152
3 6 66.6667
3 7 73.9394
3 8 72.1212
3 9 73.9394
3 10 75.7576
3 11 74.5455
3 12 78.7879
3 13 84.8485
3 14 92.7273
3 15 88.4848
3 16 86.6667
3 17 93.3333
3 18 94.5455
4 1 54.5455
4 2 62.4242
4 3 63.0303
4 4 70.303
4 5 71.5152
4 6 73.9394
4 7 76.9697
4 10 79.3939
4 11 84.2424
4 12 84.8485
4 13 86.6667
4 14 88.4848
4 15 90.303
4 16 91.5152
4 17 92.1212
4 18 92.1212
5 1 55.7576
5 2 61.2121
5 3 65.4545
5 4 69.697
5 5 72.7273
5 6 72.7273
5 7 74.5455
5 8 78.7879
5 9 81.2121
5 10 81.2121
5 11 81.8182
5 12 83.6364
5 13 86.0606
5 14 86.0606
5 15 89.697
5 16 92.1212
5 17 90.9091
5 18 93.9394
6 1 50.9091
6 2 60.6061
6 3 63.6364
6 4 72.1212
6 5 73.3333
6 6 76.9697
6 7 75.1515
6 8 79.3939
6 9 77.5758
6 10 76.9697
6 11 81.2121
6 12 84.8485
6 13 86.6667
6 14 89.0909
6 15 90.303
6 16 92.7273
6 17 92.1212
6 18 99.3939
7 5 73.3333
7 6 74.5455
7 7 75.7576
7 8 79.3939
7 9 80.6061
7 10 80.6061
7 11 82.4242
7 12 85.4545
7 13 86.6667
7 14 86.6667
7 15 90.303
7 16 93.3333
7 17 92.1212
7 18 94.5455
