@relation SemanalAcumulada_18

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric

@data
91311270,1,1,3,4,1,1,0,0,6
91311270,2,3,5,5,2,1,1,0,9
91311270,3,6,9,5,3,1,1,1,11
91311270,4,11,15,6,4,5,1,1,17
91311270,5,14,21,7,5,9,1,1,23
91311270,6,16,24,7,6,9,1,2,25
91311270,7,20,29,8,7,10,1,2,28
91311270,8,23,34,9,8,10,2,2,31
91311270,9,25,38,9,8,10,2,2,31
91311270,10,27,41,9,9,10,2,2,32
91311270,11,30,45,10,10,10,2,3,35
91311270,12,32,49,11,11,11,2,3,38
91311270,13,34,54,11,12,11,2,3,39
91311270,14,36,59,12,13,11,2,3,41
91311270,15,37,62,12,14,11,3,3,43
91311270,16,38,63,12,14,11,3,3,43
91311270,17,44,69,13,14,12,3,4,46
91311270,18,49,75,13,14,12,3,4,46
91311293,1,1,1,0,0,0,0,0,0
91311293,2,5,6,3,1,1,1,0,6
91311293,3,10,11,6,2,1,2,1,12
91311293,4,14,16,8,3,2,2,2,17
91311293,5,16,18,9,4,5,3,3,24
91311293,6,20,22,12,5,5,3,4,29
91311293,7,22,25,13,6,6,3,4,32
91311293,8,24,30,13,7,6,4,4,34
91311293,9,25,33,14,7,6,4,4,35
91311293,10,29,37,16,8,7,4,5,40
91311293,11,33,41,19,8,7,4,6,44
91311293,12,34,43,20,9,8,4,6,47
91311293,13,36,47,21,10,8,4,6,49
91311293,14,38,49,23,11,8,4,6,52
91311293,15,42,56,25,12,8,5,7,57
91311293,16,43,57,25,12,8,5,8,58
91311293,17,44,60,25,12,8,5,9,59
91311293,18,46,63,26,12,8,5,9,60
91311168,1,0,2,0,0,0,0,0,0
91311168,2,1,5,1,1,1,0,0,3
91311168,3,3,9,1,1,1,1,0,4
91311168,4,4,10,1,2,1,1,1,6
91311168,5,8,15,4,3,4,2,2,15
91311168,6,9,17,5,4,4,2,2,17
91311168,7,10,20,6,4,5,2,2,19
91311168,8,12,25,8,5,5,3,2,23
91311168,9,13,26,8,5,5,3,2,23
91311168,10,14,30,8,5,5,3,2,23
91311168,11,17,34,10,6,5,3,3,27
91311168,12,19,36,11,6,6,3,3,29
91311168,13,23,40,12,7,6,3,3,31
91311168,14,25,46,13,8,6,3,3,33
91311168,15,28,51,14,9,6,4,4,37
91311168,16,30,53,16,9,7,4,5,41
91311168,17,31,57,17,9,7,4,5,42
91311168,18,32,61,17,9,7,4,5,42
91311195,1,0,3,0,0,0,0,0,0
91311195,2,5,10,4,1,2,1,0,8
91311195,3,12,17,6,2,2,1,1,12
91311195,4,16,24,6,2,2,2,2,14
91311195,5,21,31,8,2,5,2,3,20
91311195,6,24,37,11,2,6,2,3,24
91311195,7,26,41,12,2,6,2,3,25
91311195,8,30,47,15,3,6,3,3,30
91311195,9,31,52,15,3,6,3,3,30
91311195,10,37,58,15,4,6,3,4,32
91311195,11,40,63,16,4,7,3,4,34
91311195,12,41,65,16,4,7,3,4,34
91311195,13,42,72,17,5,7,3,4,36
91311195,14,46,78,17,5,7,4,4,37
91311195,15,48,85,17,6,7,4,5,39
91311195,16,49,88,17,6,7,4,6,40
91311195,17,52,93,17,6,7,4,6,40
91311195,18,58,100,18,6,7,4,6,41
91211073,1,0,1,0,0,0,0,0,0
91211073,2,0,1,0,0,0,0,0,0
91211073,3,5,6,0,0,0,1,0,1
91211073,4,8,10,2,1,0,2,1,6
91211073,5,10,13,3,2,3,2,2,12
91211073,6,11,16,4,3,4,2,2,15
91211073,7,12,19,4,3,4,2,2,15
91211073,8,15,23,4,4,4,3,2,17
91211073,9,15,25,4,4,4,3,2,17
91211073,10,16,27,4,5,4,3,3,19
91211073,11,17,30,4,5,4,3,3,19
91211073,12,18,33,5,6,5,3,3,22
91211073,13,19,36,6,6,5,3,3,23
91211073,14,19,40,6,6,5,3,3,23
91211073,15,21,44,6,7,5,4,3,25
91211073,16,24,49,7,8,5,4,4,28
91211073,17,29,56,8,8,5,4,5,30
91211073,18,36,63,8,8,5,4,5,30
91311271,1,4,5,4,1,1,0,0,6
91311271,2,7,12,5,2,1,1,0,9
91311271,3,10,19,7,3,1,1,0,12
91311271,4,14,26,8,4,1,2,1,16
91311271,5,18,31,9,5,4,2,2,22
91311271,6,18,35,9,5,4,2,2,22
91311271,7,19,40,10,6,5,2,2,25
91311271,8,22,44,10,7,5,3,2,27
91311271,9,24,49,10,7,5,3,2,27
91311271,10,25,55,11,7,5,3,2,28
91311271,11,28,61,11,8,5,3,3,30
91311271,12,29,65,12,9,6,3,3,33
91311271,13,31,69,13,10,6,3,3,35
91311271,14,33,75,13,11,6,4,3,37
91311271,15,34,81,13,11,6,4,3,37
91311271,16,35,86,13,11,6,4,3,37
91311271,17,35,90,13,11,6,4,3,37
91311271,18,38,95,15,11,6,4,3,39
91311187,1,0,0,0,0,0,0,0,0
91311187,2,2,2,0,0,0,1,0,1
91311187,3,5,6,2,1,1,1,1,6
91311187,4,7,9,3,2,1,1,2,9
91311187,5,9,12,4,3,4,1,3,15
91311187,6,12,15,6,4,4,1,4,19
91311187,7,14,18,7,4,5,1,4,21
91311187,8,17,23,9,5,5,1,4,24
91311187,9,20,26,9,5,5,1,4,24
91311187,10,22,29,9,5,5,1,4,24
91311187,11,27,35,10,6,5,1,5,27
91311187,12,29,38,11,7,6,1,5,30
91311187,13,31,40,12,7,6,1,5,31
91311187,14,33,42,12,7,6,1,5,31
91311187,15,35,45,12,8,6,2,6,34
91311187,16,37,47,12,8,6,2,7,35
91311187,17,42,53,12,8,6,2,8,36
91311187,18,47,58,12,8,6,2,8,36
91311429,1,0,0,0,0,0,0,0,0
91311429,2,2,4,3,1,1,1,0,6
91311429,3,5,9,3,2,1,1,0,7
91311429,4,7,14,3,3,1,1,1,9
91311429,5,11,20,4,4,4,2,2,16
91311429,6,14,25,6,4,5,2,2,19
91311429,7,15,28,6,5,5,2,2,20
91311429,8,17,35,8,6,5,3,2,24
91311429,9,18,40,9,6,5,3,2,25
91311429,10,19,43,9,6,5,3,2,25
91311429,11,22,49,11,7,6,3,3,30
91311429,12,26,54,12,7,6,3,3,31
91311429,13,26,57,12,7,6,3,3,31
91311429,14,29,62,13,8,6,4,3,34
91311429,15,33,69,14,8,6,4,4,36
91311429,16,34,75,14,8,6,4,4,36
91311429,17,38,82,14,8,6,4,4,36
91311429,18,44,89,14,8,6,4,4,36
91311149,1,1,3,1,0,0,0,0,1
91311149,2,4,8,3,1,1,1,0,6
91311149,3,7,13,4,2,1,1,0,8
91311149,4,12,19,6,3,4,1,1,15
91311149,5,18,26,7,4,4,1,2,18
91311149,6,22,32,8,5,5,1,2,21
91311149,7,25,36,8,6,5,1,2,22
91311149,8,28,43,9,7,5,2,2,25
91311149,9,31,49,9,7,5,2,2,25
91311149,10,34,55,9,8,5,2,2,26
91311149,11,37,60,9,9,5,2,3,28
91311149,12,38,65,10,10,6,2,3,31
91311149,13,40,68,11,11,6,2,3,33
91311149,14,43,73,11,12,6,2,3,34
91311149,15,45,77,11,13,6,3,3,36
91311149,16,47,81,12,13,6,3,4,38
91311149,17,50,88,12,13,6,3,4,38
91311149,18,57,95,12,13,6,3,4,38
91311087,1,2,3,4,1,1,0,0,6
91311087,2,5,6,7,2,2,1,0,12
91311087,3,10,11,8,3,2,1,1,15
91311087,4,15,18,9,4,7,2,1,23
91311087,5,17,23,9,5,7,2,2,25
91311087,6,20,28,10,6,8,2,2,28
91311087,7,23,34,11,7,8,2,2,30
91311087,8,27,41,12,8,8,3,2,33
91311087,9,29,45,12,8,8,3,2,33
91311087,10,33,50,12,9,8,3,3,35
91311087,11,36,55,14,10,10,3,3,40
91311087,12,38,60,14,10,10,3,3,40
91311087,13,40,65,16,11,10,3,3,43
91311087,14,43,71,17,12,10,3,3,45
91311087,15,48,77,17,13,10,4,4,48
91311087,16,52,82,17,14,10,4,5,50
91311087,17,55,88,17,14,10,4,5,50
91311087,18,60,94,17,14,10,4,5,50
91311161,1,0,2,0,0,0,0,0,0
91311161,2,2,6,1,1,0,1,0,3
91311161,3,5,10,4,2,3,2,1,12
91311161,4,11,17,6,3,7,3,1,20
91311161,5,12,23,6,3,7,3,2,21
91311161,6,17,29,7,3,8,3,2,23
91311161,7,22,34,7,4,8,4,2,25
91311161,8,28,41,10,5,9,4,2,30
91311161,9,32,48,10,5,9,4,2,30
91311161,10,37,55,10,6,9,4,3,32
91311161,11,41,61,11,6,10,4,4,35
91311161,12,46,68,12,6,10,4,4,36
91311161,13,51,75,12,7,10,5,4,38
91311161,14,54,82,12,7,10,5,4,38
91311161,15,59,89,15,8,10,5,5,43
91311161,16,63,94,17,8,10,5,6,46
91311161,17,70,101,18,8,10,5,6,47
91311161,18,77,108,20,8,10,5,6,49
91311297,1,2,2,2,0,0,0,0,2
91311297,2,5,7,4,0,1,0,0,5
91311297,3,8,12,7,1,1,1,1,11
91311297,4,13,17,8,2,2,1,2,15
91311297,5,17,21,9,3,4,2,3,21
91311297,6,20,25,10,4,4,2,4,24
91311297,7,24,29,11,5,5,2,4,27
91311297,8,27,35,12,5,5,3,4,29
91311297,9,29,40,13,5,5,3,4,30
91311297,10,31,44,14,6,5,3,5,33
91311297,11,36,49,16,7,5,3,6,37
91311297,12,39,53,17,7,6,3,6,39
91311297,13,41,58,18,7,6,3,6,40
91311297,14,42,61,19,8,6,3,6,42
91311297,15,46,67,21,9,6,4,7,47
91311297,16,49,70,23,9,6,4,8,50
91311297,17,53,74,23,9,6,4,9,51
91311297,18,57,78,23,9,6,4,9,51
91311148,1,3,5,4,1,1,0,0,6
91311148,2,6,11,6,2,2,1,0,11
91311148,3,8,16,6,3,2,1,1,13
91311148,4,10,22,6,4,2,1,2,15
91311148,5,10,25,6,4,2,1,2,15
91311148,6,15,31,8,5,6,1,3,23
91311148,7,16,35,9,5,6,1,3,24
91311148,8,19,41,10,6,6,1,3,26
91311148,9,22,46,12,6,6,2,3,29
91311148,10,24,50,12,7,6,2,4,31
91311148,11,29,55,13,7,6,2,5,33
91311148,12,31,60,14,7,7,2,5,35
91311148,13,31,64,14,7,7,2,5,35
91311148,14,31,66,14,7,7,2,5,35
91311148,15,35,73,15,8,7,3,6,39
91311148,16,37,79,15,8,7,3,7,40
91311148,17,40,85,15,8,7,3,7,40
91311148,18,46,92,16,8,7,3,7,41
91311199,1,0,0,0,0,0,0,0,0
91311199,2,4,7,4,1,0,0,0,5
91311199,3,10,14,5,2,0,1,1,9
91311199,4,14,20,6,3,4,1,2,16
91311199,5,18,27,6,4,4,1,3,18
91311199,6,22,34,8,5,5,1,3,22
91311199,7,27,40,9,6,5,2,3,25
91311199,8,31,45,9,7,5,2,3,26
91311199,9,35,52,9,7,5,2,3,26
91311199,10,41,58,10,8,5,2,4,29
91311199,11,45,62,11,9,6,2,4,32
91311199,12,47,66,11,9,6,2,4,32
91311199,13,50,70,12,10,6,3,4,35
91311199,14,52,76,12,10,6,3,4,35
91311199,15,54,82,12,11,6,3,5,37
91311199,16,56,85,12,11,6,3,5,37
91311199,17,57,86,12,11,6,3,5,37
91311199,18,63,92,15,11,6,3,5,40
91311084,1,0,0,0,0,0,0,0,0
91311084,2,3,5,3,0,1,1,0,5
91311084,3,7,9,3,1,1,1,1,7
91311084,4,11,14,4,2,4,2,1,13
91311084,5,13,17,6,3,5,2,2,18
91311084,6,15,21,8,3,5,2,2,20
91311084,7,17,25,9,4,6,2,2,23
91311084,8,19,29,11,5,6,3,2,27
91311084,9,19,31,11,5,6,3,2,27
