@relation SemanalAcumulada_6-UltimasSemanas_6x1-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT2=1)

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data

91311270,1,1,3,4,1,1,0,0,6,False
91311293,1,1,1,0,0,0,0,0,0,False
91311168,1,0,2,0,0,0,0,0,0,False
91311195,1,0,3,0,0,0,0,0,0,False
91211073,1,0,1,0,0,0,0,0,0,False
91311271,1,4,5,4,1,1,0,0,6,True
91311187,1,0,0,0,0,0,0,0,0,False
91311429,1,0,0,0,0,0,0,0,0,False
91311149,1,1,3,1,0,0,0,0,1,False
91311087,1,2,3,4,1,1,0,0,6,False
91311161,1,0,2,0,0,0,0,0,0,False
91311297,1,2,2,2,0,0,0,0,2,False
91311148,1,3,5,4,1,1,0,0,6,False
91311199,1,0,0,0,0,0,0,0,0,False
91311084,1,0,0,0,0,0,0,0,0,False
91311436,1,0,0,0,0,0,0,0,0,False
91311144,1,0,2,0,0,0,0,0,0,False
91311423,1,2,4,3,1,0,0,0,4,True
91111098,1,1,4,0,0,0,0,0,0,False
91311163,1,4,4,2,1,1,0,0,4,False
91311468,1,0,0,0,0,0,0,0,0,False
91311277,1,0,0,0,0,0,0,0,0,False
91311294,1,2,3,1,1,1,0,0,3,False
91311180,1,5,5,2,1,1,0,0,4,False
91311204,1,0,0,0,0,0,0,0,0,False
91311183,1,0,4,0,0,0,0,0,0,False
91311298,1,2,3,0,1,0,0,0,1,False
91311394,1,0,0,0,0,0,0,0,0,False
91311405,1,0,0,0,0,0,0,0,0,False
91311082,1,0,0,0,0,0,0,0,0,True
91311435,1,0,0,0,0,0,0,0,0,False
91311558,1,0,0,0,0,0,0,0,0,False
91311299,1,0,2,0,0,0,0,0,0,False
91311300,1,1,1,0,0,0,0,0,0,False
91311155,1,2,3,0,1,0,0,0,1,False
